"ID";"P1";"P3";"P8";"P12";"P13";"P14";"P15";"P16";"P17";"P18";"P21";"P22";"P23";"P24";"P26";"P2";"P4";"P5";"P6";"P7";"P9";"P10";"P11";"P19";"P20"
1;Não;No trabalho;Nas instituições públicas;Não;;;;;;;20 a 29 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Nordeste;As vezes;Em parte;Importante;Importante;Pouco importante;Física;Sim;Moral;;
2;Não;Na família;Na Justiça;Não;;;;;;;20 a 29 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Nordeste;As vezes;Não;Muito importante;Muito importante;Importante;Sexual;Não;;;
3;Não;Na família;Na família;Não;;;;;;;30 a 39 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Nordeste;Não;Em parte;Muito importante;Muito importante;Importante;Física;Não;;;
4;As vezes;Na família;Na Justiça;Não;;;;;;;30 a 39 anos;Ensino superior;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Nordeste;As vezes;Não;Muito importante;Muito importante;Muito importante;Física;Sim;Física;;
5;Não;Nas instituições públicas;No trabalho;Sim;;;20 a 29 anos;Marido;Procurou uma delegacia da mulher;Regular;30 a 39 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Nordeste;NS/NR;Em parte;Importante;Importante;Muito importante;Psicológica;Sim;Psicológica;Instituição de proteção à mulher;Bom
6;As vezes;Na solicitação de serviços;Nas instituições públicas;Não;;;;;;;40 a 49 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Trabalha fora;Nordeste;Não;Sim;Importante;Muito importante;Muito importante;Sexual;Sim;Física;;
7;Não;Nas instituições públicas;Na solicitação de serviços;Não;;;;;;;40 a 49 anos;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Nordeste;Não;Não;Importante;Importante;Indiferente;Sexual;Não;;;
8;As vezes;Na família;NS/NR;Não;;;;;;;50 a 59 anos;Não alfabetizada;Até 2 salários míninos (R$ 520);Dona de casa;Nordeste;Não;Em parte;Importante;Importante;Muito importante;Física;Sim;Física;;
9;As vezes;Na família;Na família;Não;;;;;;;60 anos ou mais;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Nordeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Moral;Não;;;
10;Não;No trabalho;Na família;Não;;;;;;;16 a 19 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Estudante;Norte;Não;Em parte;Muito importante;Muito importante;Importante;Física;Não;;;
11;Sim;Na família;Na solicitação de serviços;Não;;;;;;;16 a 19 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Norte;Não;Não;Importante;Muito importante;Importante;Moral;Não;;;
12;As vezes;Na família;Nas instituições públicas;Não;;;;;;;16 a 19 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Estudante;Norte;Não;Não;Muito importante;Muito importante;Muito importante;Psicológica;Não;;;
13;Não;No trabalho;Nas instituições públicas;Não;;;;;;;16 a 19 anos;Ensino fundamental;NS/NR;Estudante;Norte;Não;Não;Importante;Importante;Importante;Patrimonial;Não;;;
14;Não;Na família;Na família;Não;;;;;;;20 a 29 anos;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Norte;Não;Sim;Muito importante;Muito importante;Muito importante;Psicológica;Sim;Física;;
15;Não;Na Justiça;Na família;Sim;Sexual;1 vez;20 a 29 anos;Amigo;Procurou uma delegacia da mulher;Regular;20 a 29 anos;Ensino médio;Até 2 salários míninos (R$ 520);Dona de casa;Norte;Não;Em parte;Importante;Muito importante;Importante;Sexual;Sim;Sexual;Instituição de proteção à mulher;Regular
16;As vezes;Na família;Nas instituições públicas;Não;;;;;;;20 a 29 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Norte;Não;Em parte;Muito importante;Muito importante;Muito importante;Psicológica;Sim;Moral;;
17;As vezes;Na Justiça;Na família;Não;;;;;;;20 a 29 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Norte;Não;Em parte;Muito importante;Importante;Importante;Moral;Sim;Física;;
18;As vezes;Na família;Na Justiça;Não;;;;;;;20 a 29 anos;Ensino médio;Mais de 21 salários mínimos (R$ 5.460);Trabalha fora;Norte;Não;Em parte;Muito importante;Muito importante;Importante;Sexual;Não;;;
19;Não;No trabalho;Na família;Sim;Física;2 vezes;20 a 29 anos;Namorado;Procurou uma delegacia da mulher;Bom;30 a 39 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Norte;As vezes;Sim;Muito importante;Muito importante;Importante;Sexual;Sim;Física;Foi para sua casa;
20;Não;Na família;No trabalho;Não;;;;;;;30 a 39 anos;Ensino médio;Até 2 salários míninos (R$ 520);Dona de casa;Norte;Não;Não;Muito importante;Muito importante;Importante;Moral;Sim;Moral;;
21;As vezes;No trabalho;Nas instituições públicas;Sim;Física;4 vezes ou mais;até 19 anos;Marido;Procurou ajuda da família;;30 a 39 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Norte;As vezes;Não;Importante;Muito importante;Importante;Moral;Sim;Física;;
22;Não;Na família;Nas instituições públicas;Não;;;;;;;30 a 39 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Dona de casa;Norte;Não;Não;Muito importante;Muito importante;Importante;Sexual;Não;;;
23;Não;Na solicitação de serviços;Na família;Sim;Moral;1 vez;20 a 29 anos;Marido;Procurou uma delegacia da mulher;Regular;30 a 39 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Norte;Não;Não;Muito importante;Muito importante;Muito importante;Física;Sim;Física;Foi para sua casa;
24;Não;Na família;No trabalho;Sim;Moral;4 vezes ou mais;20 a 29 anos;NS/NR;Procurou ajuda da família;;30 a 39 anos;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Estudante;Norte;Não;Não;Muito importante;Muito importante;Muito importante;Física;Sim;Física;Foi para sua casa;
25;As vezes;No trabalho;Nas instituições públicas;Não;;;;;;;30 a 39 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Norte;Sim;Sim;Muito importante;Muito importante;Importante;Sexual;Sim;Física;;
26;Não;Nas instituições públicas;Na família;Sim;NS/NR;NS/NR;40 a 49 anos;NS/NR;NS/NR;;40 a 49 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Norte;Não;Em parte;Muito importante;Muito importante;Muito importante;Psicológica;Sim;Física;;
27;Não;No trabalho;Na família;Não;;;;;;;40 a 49 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Norte;Não;Sim;Muito importante;Muito importante;Importante;Física;NS/NR;;;
28;Não;Na família;Na solicitação de serviços;Não;;;;;;;40 a 49 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Norte;Não;Não;Muito importante;Muito importante;Muito importante;Física;Sim;Física;;
