"ID";"P3";"P4";"P5";"P7";"P8";"P9";"P10";"P11";"P12";"P13";"P14";"P15";"P2";"P19";"P20";"P21";"P22";"P6";"P16";"P17";"P18"
1;Não     ;Outros      ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;AC;Sim;Denunciar                                                                 ;Sim;Em parte
2;Às vezes;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;60 anos ou +;Ensino Fundamental ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Aposentada                     ;AC;Sim;Melhorar a assistência às vítimas                                         ;Sim;Em parte
3;Não     ;Na família  ;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Funcionária de empresa privada ;AC;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Sim;Não     
4;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;AC;Sim;Denunciar                                                                 ;Não;Sim     
5;Não     ;Na família  ;Sim     ;Sim;Uso do álcool           ;Física             ;Marido     ;Não  ;                            ;Não fez nada                    ;       ;20 a 29 anos;30 a 39 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Empregada Doméstica            ;AC;Sim;Denunciar                                                                 ;Sim;Sim     
6;Às vezes;Na sociedade;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Empregada Doméstica            ;AL;Sim;Denunciar                                                                 ;Sim;Sim     
7;Não     ;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Empregada Doméstica            ;AL;Sim;Denunciar                                                                 ;Sim;Em parte
8;Às vezes;No trabalho ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Outras ocupações               ;AL;Sim;Outra opção                                                               ;Sim;Em parte
9;Sim     ;Na sociedade;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;60 anos ou +;Ensino Fundamental ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Aposentada                     ;AL;Não;Dividir de forma mais equilibrada as responsabilidades domésticas         ;Não;Sim     
10;Não     ;No trabalho ;Não     ;Sim;NS/NR                   ;Moral              ;NS/NR      ;Sim  ;Não sofro mais violência    ;Procurou ajuda dos amigos       ;       ;40 a 49 anos;40 a 49 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Outras ocupações               ;AL;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Não;Sim     
