"ID";"P01";"P02";"P03";"P04";"P07";"P08";"P12";"P13";"P15";"P18";"P19";"P20";"P21";"P22";"P23";"P24";"P25";"P27";"P061";"P062";"P063";"P064";"P065";"P066";"P111";"P112";"P113";"P114";"P141";"P142";"P143";"P144";"P145";"P146";"P171";"P172";"P173";"P174";"P175";"P176";"P1601";"P1602";"P1603";"P1604";"P1605";"P1606";"P1607";"P1608";"P1609";"P1610";"P261";"P262";"P263";"P264";"P265";"P266";"P267";"P268";"P28";"P29";"P30";"P31";"P32";"P33";"P091";"P092";"P093";"P094";"P095";"P096";"P097";"P098";"P099";"P051";"P052";"P053";"P054";"P055";"P056";"P057";"P058";"P10",,
1;Não;Na família;Aumentou;Não;Não;Sim;Família;Sim;Não;;;;;;;;;Sim;No;Yes;Yes;No;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;No;No;No;Yes;Yes;No;No;50 a 59 anos;Ensino Superior;Mais de 10 SM (Mais de R$ 4.150,00);Aposentada;Católica;Região Sudeste;No;No;No;No;No;Yes;No;Yes;No;;;;;;;;;Não,
2;Às vezes;Na família;Aumentou;Não;Em parte;Não;Família;Não;Não;;;;;;;;;Não;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;No;No;No;No;No;No;Yes;No;50 a 59 anos;5ª a 8ª série do Fund.;Até 1 salário mínimo (Até R$ 415,00);Do Lar (Dona de casa);Evangélica;Região Nordeste;;;;;;;;;;;;;;;;;;Sim,
3;Às vezes;Na sociedade;Continua igual;Às vezes;Sim;Não;Polícia / Delegacia;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;No;No;Yes;No;No;No;No;No;20 a 29 anos;Ensino Médio;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Profissional liberal (Autônoma);Sem religião - Ateu;Região Nordeste;;;;;;;;;;No;No;No;No;No;No;Yes;No;Sim
4;Às vezes;Na família;Aumentou;Não;Não;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Não;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;Yes;No;;;;;;;;;;;;;;;;;No;Yes;No;Yes;No;No;No;No;40 a 49 anos;5ª a 8ª série do Fund.;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Profissional liberal (Autônoma);Outras religiões;Região Nordeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Sim
5;Não;Na família;Aumentou;Às vezes;Não;Sim;Polícia / Delegacia;Sim;Sim;Marido;Não;;;Outra opção;;;20 a 29 anos;Sim;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;Yes;Yes;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;60 anos ou +;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Aposentada;Evangélica;Região Sul;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Sim
6;Às vezes;Outros ambientes;Aumentou;Não;Não;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Não;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;Yes;Yes;No;No;No;No;No;No;30 a 39 anos;Ensino Médio;NS/NR;Profissional liberal (Autônoma);NS/NR;Região Nordeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Sim,,
7;Não;Na sociedade;Aumentou;Sim;Sim;Sim;Polícia / Delegacia;Não;Sim;Tio/Primo/Irmão;Sim;Sim;Todos os dias;Não fez nada;Outra opção;;20 a 29 anos;Sim;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;20 a 29 anos;Ensino Médio;Até 1 salário mínimo (Até R$ 415,00);Empregada doméstica;Evangélica;Região Nordeste;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Sim,
8;Às vezes;Na família;Aumentou;Às vezes;Sim;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;Yes;Yes;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;30 a 39 anos;Ensino Médio;Até 1 salário mínimo (Até R$ 415,00);Do Lar (Dona de casa);Evangélica;Região Nordeste;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Sim,
9;Não;Na sociedade;Aumentou;Não;Não;Sim;Delegacia da Mulher;Não;Não;;;;;;;;;Sim;Yes;No;Yes;No;No;No;No;Yes;No;No;;;;;;;;;;;;;;;;;;;;;;;No;No;No;No;Yes;No;No;No;40 a 49 anos;Ensino Superior;Mais de 5 a 10 SM (R$ 2.075,01 a  R$ 4.150,00);Funcionária de empresa privada;Espírita;Região Nordeste;No;No;Yes;No;No;No;No;No;No;;;;;;;;;Sim
10;Não;Na sociedade;Aumentou;Não;Não;Não;Polícia / Delegacia;Sim;Sim;Namorado;Não;;;Outra opção;;;20 a 29 anos;Sim;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;Yes;20 a 29 anos;5ª a 8ª série do Fund.;NS/NR;Desempregada;Católica;Região Nordeste;;;;;;;;;;;;;;;;;;Sim,,
11;Não;Na sociedade;Aumentou;Não;Não;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;No;No;No;Yes;No;No;No;20 a 29 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Funcionária de empresa privada;Católica;Região Nordeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Não
12;Não;Na sociedade;Continua igual;Não;Não;Sim;Outras respostas;Sim;Não;;;;;;;;;Não;Yes;No;No;No;No;No;No;Yes;No;No;Yes;No;Yes;No;Yes;No;;;;;;;;;;;;;;;;;No;Yes;No;No;No;No;No;No;20 a 29 anos;Ensino Médio;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Estudante;Católica;Região Nordeste;No;No;No;No;No;No;No;Yes;No;;;;;;;;;Sim
13;Não;No trabalho;Continua igual;Não;Sim;Sim;Outras respostas;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;;;;;;;;;;;;;;;;;No;Yes;Yes;No;No;No;No;No;30 a 39 anos;Ensino Superior;Mais de 10 SM (Mais de R$ 4.150,00);Servidora pública;Católica;Região Nordeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Sim,
14;Às vezes;Na família;Continua igual;Não;Não;Não;Polícia / Delegacia;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;Yes;No;No;;;;;;;;;;;;;;;;;;;;;;;No;No;No;No;No;Yes;No;No;60 anos ou +;Ensino Médio;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Do Lar (Dona de casa);Católica;Região Nordeste;;;;;;;;;;;;;;;;;;Sim
15;Não;Na sociedade;Aumentou;Não;Não;Sim;Delegacia da Mulher;Sim;Sim;Companheiro;Não;;;Procurou ajuda dos amigos;;;20 a 29 anos;Sim;Yes;No;No;No;No;No;No;No;No;Yes;Yes;No;No;No;Yes;No;Yes;No;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;20 a 29 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Funcionária de empresa privada;Evangélica;Região Nordeste;No;No;No;No;Yes;No;No;No;No;;;;;;;;;NS/NR
16;Sim;No trabalho;Diminuiu;Sim;Sim;Não;Polícia / Delegacia;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;No;No;No;No;Yes;No;No;No;16 a 19 anos;Ensino Médio;Até 1 salário mínimo (Até R$ 415,00);Outras opções;Católica;Região Nordeste;;;;;;;;;;No;No;No;No;No;No;Yes;No;Não,
17;Às vezes;Outros ambientes;Diminuiu;Às vezes;Sim;Sim;Polícia / Delegacia;Não;Não;;;;;;;;;Não;No;No;No;No;Yes;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;No;No;No;No;No;No;No;Yes;40 a 49 anos;Ensino Médio;NS/NR;Do Lar (Dona de casa);Católica;Região Nordeste;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Sim,,
18;Não;Na família;Aumentou;Não;Em parte;Sim;Delegacia da Mulher;Não;Não;;;;;;;;;Sim;No;Yes;No;No;No;No;Yes;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;40 a 49 anos;5ª a 8ª série do Fund.;Até 1 salário mínimo (Até R$ 415,00);Outras opções;Sem religião - Ateu;Região Nordeste;No;No;No;No;Yes;No;No;No;No;;;;;;;;;Sim,
