"ID";"P04";"P05";"P10";"P11";"P20";"P2101";"P2102";"P2103";"P2104";"P2105";"P2106";"P2107";"P2108";"P2109";"P2110";"P2111";"P221";"P222";"P223";"P224";"P225";"P226";"P227";"P24";"P26";"P27";"P29";"P31";"P06";"P07";"P091";"P092";"P093";"P094";"P095";"P096";"P097";"P098";"P099";"P16";"P17";"P18";"P191";"P192";"P193";"P194";"P195";"P196";"P197";"P25";"P28";"P30";"P32";"P03";"P02";"P34";"P35";"P36";"P37";"P38";"P39";"P12";"P13";"P141";"P142";"P143";"P144";"P15";"P23";"P33_1";"P33_2",
1;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;Centro Oeste;Goiás;60 ou mais;Até Ens. Fund.;Até 2 S.M.;Aposentada;Evangélica;Indígena;Melhor;Não;Yes;No;No;No;Sim;;Enfraquece a lei;Aumenta a proteção à mulher,
2;NS/NR ;No trabalho;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;Yes;No;Yes;No;Yes;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;;Nordeste;Pernambuco;60 ou mais;Até Ens. Fund.;Até 2 S.M.;Do Lar;Evangélica;Branca;Melhor;Sim;Yes;Yes;No;No;Sim;;Fortalece a lei;Aumenta a proteção à mulher,
3;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;Yes;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;;Sul;Rio Grande do Sul;50 a 59;Até Ens. Fund.;Até 2 S.M.;Funcionária de empresa privada;Outras religiões;Branca;Melhor;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
4;Às vezes;Outro ambiente ;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;No;No;No;No;Yes;No;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;Norte;Amazonas;16 a 19 anos;Ens. Médio;Sem renda;Estudante;Católica;Branca;Melhor;Não;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
5;Não;Na sociedade;Não;Sim;Sim;No;No;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;Não;;Outra opção;;16 a 19 anos;Continuou igual;Não denunciam;No;No;Yes;Yes;No;No;No;No;No;Sim;Outras respostas ;Sim;No;No;Yes;No;No;No;No;;;;Primeira vez;Norte;Amazonas;30 a 39;Ens. Médio;Até 2 S.M.;NS/NR;Católica;Parda;Igual;Sim;No;No;Yes;No;Sim;Outro ;Fortalece a lei;Aumenta a proteção à mulher,
6;Não;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;Centro Oeste;Goiás;40 a 49;Até Ens. Fund.;Até 2 S.M.;Profissional Liberal;Católica;Parda;Melhor;Não;No;No;Yes;No;Sim;;Fortalece a lei;Aumenta a proteção à mulher,
7;Não;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Não denunciam;No;Yes;No;Yes;Yes;No;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;Yes;No;Yes;No;No;;;;;Sul;Rio Grande do Sul;50 a 59;Ens. Médio;Mais de 2 a 5;Servidora Pública;Católica;Branca;Melhor;Não;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
8;Às vezes;No trabalho;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sudeste;São Paulo;20 a 29;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Evangélica;Branca;Igual;Não;No;Yes;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
9;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;Yes;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Nordeste;Pernambuco;40 a 49;Ens. Superior;Até 2 S.M.;Servidora Pública;Católica;Parda;Melhor;Sim;Yes;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
10;Às vezes;No trabalho;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;No;No;Yes;Yes;No;No;No;No;No;NS/NR ;;Sim;Yes;No;No;No;No;No;No;;;;;Norte;Amazonas;40 a 49;Ens. Superior;Mais de 5 a 10;Funcionária de empresa privada;Católica;Parda;Melhor;Sim;Yes;Yes;No;No;Sim;;NS/NR;NS/NR,
