"ID";"P04";"P05";"P10";"P11";"P19";"P2001";"P2002";"P2003";"P2004";"P2005";"P2006";"P2007";"P2008";"P2009";"P2010";"P2011";"P211";"P212";"P213";"P214";"P215";"P216";"P217";"P22";"P23";"P25";"P26";"P28";"P30";"P06";"P08";"P091";"P092";"P093";"P094";"P095";"P096";"P097";"P098";"P099";"P15";"P16";"P17";"P181";"P182";"P183";"P184";"P185";"P186";"P187";"P24";"P27";"P29";"P31";"P32";"P33";"Renda2";"P35";"P37";"P36";"P03";"P02";"P071";"P072";"P073";"P074";"P12";"P13";"P14";"P34"
1;Às vezes;Na família;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Sim;Não;Não;Não;Sim;Não;Não;Marido / companheiro;Não;;Procurou a Igreja;;30 a 39 anos;Aumentou;Não denunciam;Não;Não;Não;Sim;Não;Não;Não;Não;Não;NS/NR;;Não;;;;;;;;;;;NS/NR;60 ou mais;Até Ens. Fund.;Até 2 S.M.;Dona de casa / Do lar;Branca;Espírita;Nordeste;Bahia;Sim;Não;Não;Não;;;;Até 2 S.M.
2;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Sim;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;30 a 39 anos;Até Ens. Fund.;Até 2 S.M.;Empregada doméstica;Parda;Católica;Nordeste;Bahia;Sim;Não;Não;Não;Melhor;Não;Sim;Até 2 S.M.
3;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Continua igual;Na minoria das vezes;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Sim;Outras respostas ;Sim;Não;Não;Sim;Não;Sim;Não;Não;;;;;60 ou mais;Ens. Médio;Sem renda;Dona de casa / Do lar;Branca;Católica;Nordeste;Bahia;Não;Não;Sim;Não;Melhor;NS/NR;Sim;Sem renda
4;Sim;Na família;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;20 a 29 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Parda;Evangélica;Nordeste;Bahia;Sim;Sim;Sim;Não;Melhor;Não;Sim;Até 2 S.M.
5;Não;Na sociedade;Sim;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Marido / companheiro;Sim;;Não fez nada;;;Aumentou;Na minoria das vezes;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Delegacia da Mulher;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Preocupação com a criação dos filhos;;Não procurou ajuda;30 a 39 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Parda;Católica;Nordeste;Bahia;Sim;Não;Não;Não;Melhor;Não;Sim;Até 2 S.M.
6;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;;Não;;;;;;;;;;;;60 ou mais;Ens. Médio;Até 2 S.M.;Aposentada / Pensionista;Parda;Evangélica;Nordeste;Bahia;Sim;Não;Não;Não;Melhor;Não;Sim;Até 2 S.M.
7;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;30 a 39 anos;Ens. Médio;Até 2 S.M.;Empregada doméstica;Indígena;Católica;Nordeste;Bahia;Sim;Não;Não;Não;Melhor;Sim;Sim;Até 2 S.M.
8;Não;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;60 ou mais;Até Ens. Fund.;Até 2 S.M.;Dona de casa / Do lar;Parda;Católica;Nordeste;Bahia;Não;Não;Sim;Não;Melhor;Sim;Sim;Até 2 S.M.
9;Às vezes;Na família;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Sim;Não;Não;Marido / companheiro;Não;;Procurou a Igreja;;20 a 29 anos;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Delegacia da Mulher;Sim;Sim;Sim;Não;Não;Sim;Não;Não;;;;1ª vez;30 a 39 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Preta;Evangélica;Nordeste;Bahia;Não;Não;Sim;Não;Igual;Não;Sim;Até 2 S.M.
10;Às vezes;No trabalho;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Sim;Não;Não;;;;;20 a 29 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Parda;Católica;Nordeste;Bahia;Sim;Sim;Não;Não;Melhor;Sim;Sim;Até 2 S.M.
11;Às vezes;Na família;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;20 a 29 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Preta;Católica;Nordeste;Bahia;Sim;Não;Não;Não;Igual;Sim;Sim;Até 2 S.M.
12;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;20 a 29 anos;Ens. Superior;Até 2 S.M.;Funcionária de empresa privada;Parda;Católica;Nordeste;Bahia;Sim;Não;Não;Não;Melhor;Não;Sim;Até 2 S.M.
13;Não;Na família;Não;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Sim;Não;Sim;Não;Sim;Não;Não;Marido / companheiro;Sim;;NS/NR <b>(Não ler)</b>;;30 a 39 anos;Aumentou;Na minoria das vezes;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Sim;Delegacia da Mulher;Sim;Sim;Não;Sim;Não;Sim;Não;Não;Não;;;NS/NR;50 a 59 anos;Ens. Médio;Mais de 2 a 5 S.M.;Profissional Liberal (Autônoma);Parda;Evangélica;Nordeste;Bahia;Não;Não;Sim;Não;Melhor;Sim;Sim;Mais de 2 a 5 S.M.
14;Às vezes;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;;Sim;Sim;Não;Sim;Não;Não;Não;Não;;;;;30 a 39 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Preta;Evangélica;Nordeste;Bahia;Sim;Não;Não;Não;Igual;Sim;Sim;Até 2 S.M.
15;Não;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Continua igual;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;16 a 19 anos;Até Ens. Fund.;Sem renda;Desempregada;Preta;Umbanda/Candomblé;Nordeste;Bahia;Não;Sim;Não;Não;Melhor;Sim;Sim;Sem renda
16;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na maioria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;20 a 29 anos;Ens. Médio;Sem renda;Dona de casa / Do lar;Preta;Evangélica;Nordeste;Bahia;Sim;Não;Não;Não;Melhor;Sim;Sim;Sem renda
17;Não;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Central de Atendimento à Mulher (Ligue 180);Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;60 ou mais;Ens. Médio;Até 2 S.M.;Aposentada / Pensionista;Preta;Espírita;Nordeste;Bahia;Não;Não;Sim;Não;Igual;Sim;Sim;Até 2 S.M.
18;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Continua igual;Não denunciam;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;40 a 49 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Branca;Católica;Nordeste;Bahia;Sim;Não;Não;Não;Melhor;Não;Sim;Até 2 S.M.
19;Não;Na família;Não;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Marido / companheiro;Sim;Semanalmente;Procurou ajuda da família;;16 a 19 anos;Aumentou;Não denunciam;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;;;3ª vez ou +;20 a 29 anos;Ens. Médio;Até 2 S.M.;Dona de casa / Do lar;Parda;Evangélica;Nordeste;Bahia;Sim;Não;Não;Não;Igual;Sim;Sim;Até 2 S.M.
20;Não;Outro ambiente;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;60 ou mais;Até Ens. Fund.;Até 2 S.M.;Dona de casa / Do lar;Preta;Católica;Nordeste;Bahia;Sim;Não;Não;Não;Melhor;Sim;Sim;Até 2 S.M.
21;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Continua igual;Na minoria das vezes;Não;Sim;Não;Sim;Sim;Não;Não;Não;Não;Sim;Delegacia da Mulher;Sim;Não;Não;Sim;Sim;Sim;Não;Não;;;;;20 a 29 anos;Ens. Médio;Até 2 S.M.;Desempregada;Parda;Católica;Nordeste;Bahia;Não;Não;Sim;Não;Melhor;Não;Sim;Até 2 S.M.
22;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;30 a 39 anos;Ens. Superior;Até 2 S.M.;Funcionária de empresa privada;Parda;Sem religião/crença;Nordeste;Bahia;Sim;Sim;Sim;Não;Igual;Sim;Sim;Até 2 S.M.
23;Às vezes;Na sociedade;Não;Sim;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Sim;Não;Não;Marido / companheiro;Não;;Outra opção <b>(Não ler)</b>;;NS/NR;Diminuiu;Na minoria das vezes;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Sim;Sim;Não;Sim;Não;Sim;Não;Não;;;;3ª vez ou +;40 a 49 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Preta;Evangélica;Nordeste;Bahia;Não;Não;Sim;Não;Igual;Sim;Sim;Até 2 S.M.
