"ID";"P04";"P05";"P06";"P08";"P10";"P11";"P12";"P15";"P16";"P17";"P19";"P071";"P072";"P073";"P074";"P091";"P092";"P093";"P094";"P095";"P096";"P097";"P098";"P099";"P181";"P182";"P183";"P184";"P185";"P186";"P187";"P2001";"P2002";"P2003";"P2004";"P2005";"P2006";"P2007";"P2008";"P2009";"P2010";"P2011";"P211";"P212";"P213";"P214";"P215";"P216";"P217";"P22";"P23";"P24";"P25";"P26";"P27";"P28";"P29";"P30";"P31";"P03";"P32";"P33";"P34";"P35";"P36";"P37";"P02";"P13";"P14",
1;NS/NR;No trabalho;Continuou igual;NS/NR;Não;Sim;NS/NR;Sim;-2;Não;Não;Yes;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;60 anos ou mais;NS/NR;Até 2 S.M.;Aposentada / Pensionista;Católica;Branca;Rio Grande do Norte                                      ;Sim;Deve,
2;Às vezes;Na família;Aumentou;Na minoria das vezes;Não;Sim;Pior;Sim;Polícia / Delegacia comum;Sim;Não;No;No;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;60 anos ou mais;NS/NR;Até 2 S.M.;Dona de casa / Do lar;Outra;Preta;São Paulo                                               ;Sim;Deve,
3;Não;No trabalho;Aumentou;Na minoria das vezes;Não;Sim;Pior;Sim;Delegacia da Mulher;Não;Não;Yes;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 50 a 59 anos;NS/NR;Até 2 S.M.;Empregada doméstica;Evangélica;Branca;Ceará                                                   ;Sim;Deve,
4;Não;NS/NR;Aumentou;Não denunciam;Não;Sim;Pior;Sim;Polícia / Delegacia comum;Não;Não;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 30 a 39 anos;NS/NR;NS/NR;Empregada doméstica;Católica;NS/NR;Pernambuco                                               ;Sim;Deve,
5;Não;Na sociedade;Aumentou;Na minoria das vezes;Não;Sim;Igual;Não;-2;Sim;Sim;Yes;No;No;No;No;Yes;No;Yes;No;No;Yes;No;No;Yes;No;Yes;No;Yes;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;Pai;Não;;;Outra opção;;;;0 a 15 anos;Não procurei ajuda ;Sudeste;De 30 a 39 anos;NS/NR;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Sem religião/crença;Branca;Rio de Janeiro                                           ;Sim;Deve,
6;Às vezes;Na sociedade;Continuou igual;Na minoria das vezes;Sim;Sim;Melhor;Sim;Polícia / Delegacia comum;Não;Não;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 20 a 29 anos;NS/NR;Sem renda;Empregada doméstica;Católica;Preta;Bahia                                                    ;Não;Deve,
7;Não;No trabalho;Aumentou;Na minoria das vezes;Sim;Sim;Igual;Sim;Polícia / Delegacia comum;Não;Não;Yes;No;Yes;No;No;No;Yes;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 16 a 19 anos;NS/NR;Até 2 S.M.;Funcionária de empresa privada;Evangélica;Parda;Rio de Janeiro                                           ;Sim;Deve,
8;Não;Na sociedade;Aumentou;Não denunciam;Não;Sim;Igual;Sim;Delegacia da Mulher;Sim;Sim;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Marido / companheiro;Não;;;Denunciou em uma delegacia comum;;Regular;;20 a 29 anos;Terceira vez ou mais;Norte;60 anos ou mais;Ensino Superior;Sem renda;Dona de casa / Do lar;Evangélica;Branca;Amapá                                                   ;Sim;Deve,
9;Às vezes;Na sociedade;Aumentou;Na maioria das vezes;Em parte;Sim;Igual;Sim;Polícia / Delegacia comum;Não;Não;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;60 anos ou mais;Ensino Superior;Mais de 2 a 5 S.M.;Aposentada / Pensionista;Outra;Preta;Bahia                                                    ;Sim;Deve,
10;Às vezes;No trabalho;Continuou igual;Na minoria das vezes;Não;Sim;Melhor;Sim;Delegacia da Mulher;Sim;Não;Yes;Yes;Yes;No;No;No;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;60 anos ou mais;Ensino Superior;Mais de 2 a 5 S.M.;Dona de casa / Do lar;Católica;Preta;Bahia                                                    ;Não;Deve,
11;Não;Na sociedade;Aumentou;Na minoria das vezes;Sim;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Não;Yes;Yes;No;No;No;No;No;No;Yes;No;Yes;No;No;Yes;No;Yes;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;60 anos ou mais;Ensino Superior;Mais de 2 a 5 S.M.;Servidora Pública;Católica;Branca;Ceará                                                   ;Sim;Deve,
12;Não;Na sociedade;Aumentou;Não denunciam;Em parte;Sim;Pior;Sim;Polícia / Delegacia comum;Sim;Sim;Yes;No;Yes;No;Yes;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;Marido / companheiro;Sim;Não;;Outra opção;;;;20 a 29 anos;Primeira vez;Nordeste;60 anos ou mais;Ensino Superior;Mais de 5 a 10 S.M.;Aposentada / Pensionista;Católica;Parda;Ceará                                                   ;Sim;Deve,
13;Não;Na sociedade;Continuou igual;Na minoria das vezes;Não;Sim;Igual;Sim;Polícia / Delegacia comum;Sim;Não;Yes;Yes;No;No;Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;Yes;Yes;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;60 anos ou mais;Ensino Superior;NS/NR;Aposentada / Pensionista;Católica;Branca;Espírito Santo                                          ;Não;Deve,
14;Às vezes;Na sociedade;Continuou igual;Na minoria das vezes;Sim;Sim;Melhor;Sim;Polícia / Delegacia comum;Não;Não;Yes;Yes;Yes;No;No;Yes;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;60 anos ou mais;Ensino Superior;Mais de 10 S.M.;Servidora Pública;Católica;Branca;Maranhão                                                ;Sim;Deve,
