"ID";"P03";"P05";"P06";"P07";"P08";"P12";"P1301";"P1302";"P1303";"P1304";"P1305";"P1306";"P1307";"P1308";"P1309";"P14";"P15";"P16";"P19";"P20";"P21";"P22";"P231";"P232";"P233";"P234";"P235";"P236";"P237";"P238";"P24";"P251";"P252";"P253";"P254";"P255";"P256";"P257";"P258";"P2601";"P2602";"P2603";"P2604";"P2605";"P2606";"P2607";"P2608";"P2609";"P2610";"P2611";"P2612";"P2613";"P2614";"P2615";"P2701";"P2702";"P2703";"P2704";"P2705";"P2706";"P2707";"P2708";"P2709";"P2710";"P2711";"P2712";"P2713";"P2714";"P2715";"P2716";"P2717";"P2718";"P28";"P29";"P30";"P32";"P3101";"P3102";"P3103";"P3104";"P3105";"P3106";"P3107";"P3108";"P3109";"P3110";"P3111";"P33";"P34";"P35";"P36";"P37";"P38";"P39";"REGIAO";"P09";"P10";"P11";"P17";"P18';"PropFM",,,
1;São Paulo;Não;Na rua;Pouco machista;Aumentou;Na maioria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Sim;Pouco;Sim;<b>Justiça</b>;Não;;;;;;;;;;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 20 a 29 anos</b>;<b>Casada</b>;Sim;<b>Fundamental COMPLETO (1º grau completo / ginasial completo)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Funcionária de empresa privada</b>;Branca;Sudeste;Sim;Sim;Sim;Sim;<b>Deve</b>;95049,8392857143,
2;São Paulo;Não;Na rua;Muito machista;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Não;Pouco;Sim;<b>Polícia (Disque 190)</b>;Sim;Sim;No;No;No;No;No;Yes;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 40 a 49 anos</b>;<b>Casada</b>;Sim;<b>Fundamental INCOMPLETO (1º grau incompleto / ginasial incompleto ou primário)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Profissional Liberal (Autônoma)</b>;Branca;Sudeste;Sim;Sim;Sim;Sim;<b>Deve</b>;105332,52631579,
3;São Paulo;Não;Na família;Muito machista;Aumentou;Na minoria das vezes;Yes;Yes;No;Yes;No;No;No;No;No;Sim;Em parte;Pouco;Sim;<b>Polícia (Disque 190)</b>;Sim;Sim;Yes;No;No;No;Yes;No;No;No;Sim;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Não;Não;Não;<b>20 a 29 anos</b>;No;No;No;No;No;No;No;Yes;No;No;No;<b>De 50 a 59 anos</b>;<b>Viúva</b>;Sim;<b>Fundamental INCOMPLETO (1º grau incompleto / ginasial incompleto ou primário)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Dona de casa / Do lar</b>;Branca;Sudeste;Sim;Sim;Sim;Sim;<b>Deve</b>;119924,289473684,
4;São Paulo;Às vezes;No trabalho;Pouco machista;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Em parte;Pouco;Não;;Sim;Sim;No;Yes;No;No;No;No;No;No;Sim;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;Não;Não;Não;<b>0 a 15 anos</b>;No;No;No;No;No;No;No;Yes;No;No;No;<b>De 40 a 49 anos</b>;<b>Casada</b>;Sim;<b>Superior COMPLETO (3º grau completo / graduação completa / Normal Superior )</b>;<b>Prefiro não responder </b>;<b>Servidora Pública/Funcionária Pública</b>;Preta;Sudeste;Sim;Sim;Sim;Não;<b>Deve</b>;17114,8,,
5;São Paulo;Às vezes;Na família;Muito machista;Aumentou;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Em parte;<b>Não sei  (Não Ler)</b>;Não;;Não;;;;;;;;;;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>60 anos ou mais</b>;<b>Casada</b>;Sim;<b>Médio INCOMPLETO (2º grau incompleto / colegial incompleto)</b>;<b>Sem renda</b>;<b>Dona de casa / Do lar</b>;Parda;Sudeste;Sim;Sim;Sim;Sim;<b>Deve</b>;119924,289473684,,
6;São Paulo;Não;Na rua;Muito machista;Aumentou;Na minoria das vezes;No;Yes;No;Yes;No;No;No;No;No;Sim;Em parte;Pouco;Sim;<b>Delegacia da Mulher</b>;Sim;Sim;Yes;No;No;No;No;No;No;No;Sim;Yes;No;No;No;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Sim;Não;Sim;<b>30 a 39 anos</b>;No;No;No;No;No;No;No;Yes;No;No;No;<b>De 30 a 39 anos</b>;<b>Solteira</b>;Sim;<b>Fundamental INCOMPLETO (1º grau incompleto / ginasial incompleto ou primário)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Empregada doméstica</b>;Branca;Sudeste;Sim;Sim;Sim;Sim;<b>Deve</b>;105332,52631579,
7;São Paulo;Às vezes;Na família;Pouco machista;Aumentou;Na minoria das vezes;Yes;Yes;No;No;No;No;No;No;No;Sim;Não;Pouco;Não;;Não;;;;;;;;;;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>60 anos ou mais</b>;<b>Casada</b>;Sim;<b>Médio COMPLETO (2º grau completo / colegial completo / técnico completo / magistério)</b>;<b>Sem renda</b>;<b>Dona de casa / Do lar</b>;Branca;Sudeste;Sim;Sim;Sim;Sim;<b>Não deve</b>;87994,2941176471,,
8;São Paulo;Sim;No trabalho;Nada machista;Diminuiu;Na maioria das vezes;Yes;No;Yes;No;No;No;No;No;No;Sim;Em parte;Pouco;Sim;<b>Delegacia da Mulher</b>;Não;;;;;;;;;;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 20 a 29 anos</b>;<b>Casada</b>;Sim;<b>Médio INCOMPLETO (2º grau incompleto / colegial incompleto)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Funcionária de empresa privada</b>;Parda;Sudeste;;;Não;Sim;<b>Deve</b>;100921,928571429,
9;São Paulo;Às vezes;Na rua;Pouco machista;Continuou igual;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Não;Pouco;Sim;<b>Polícia (Disque 190)</b>;Não;;;;;;;;;;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 40 a 49 anos</b>;<b>Casada</b>;Sim;<b>Médio COMPLETO (2º grau completo / colegial completo / técnico completo / magistério)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Funcionária de empresa privada</b>;Branca;Sudeste;;;Sim;Não;<b>Deve</b>;80514,7041223404,
10;Minas Gerais;Não;Na rua;Muito machista;Aumentou;<b>Não sei  (Não Ler)</b>;No;No;No;Yes;No;No;No;No;No;Sim;Em parte;Pouco;Sim;<b>Polícia (Disque 190)</b>;Não;;;;;;;;;;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>60 anos ou mais</b>;<b>Viúva</b>;Sim;<b>Médio COMPLETO (2º grau completo / colegial completo / técnico completo / magistério)</b>;<b>De R$ 4.685,01 a R$ 9.370,00 (mais de 5 a 10)</b>;<b>Dona de casa / Do lar</b>;<b>Não sei (Não Ler)</b>;Sudeste;Sim;Sim;Sim;Sim;<b>Deve</b>;69679,8
