"ID";"regiao.wgts";"P05";"P06";"P07";"P08";"P09";"P10_01";"P10_02";"P10_03";"P10_04";"P10_05";"P10_06";"P10_07";"P10_08";"P10_09";"P11";"P12";"P12_A";"P13_01";"P13_02";"P13_03";"P13_04";"P13_A";"P14";"P15";"P16";"P17";"P17_A_01";"P17_A_02";"P17_A_03";"P17_A_04";"P17_A_05";"P17_A_06";"P17_A_07";"P18";"P18_A";"P18_B";"P18_C_01";"P18_C_02";"P18_C_03";"P18_C_04";"P18_C_05";"P18_C_06";"P19";"P20_01";"P20_02";"P20_03";"P20_04";"P20_05";"P20_06";"P21_01";"P21_02";"P21_03";"P21_04";"P21_05";"P21_06";"P21_09";"P21_10";"P22_01";"P22_02";"P22_03";"P22_04";"P22_05";"P22_06";"P22_07";"P22_08";"P22_09";"P22_10";"P22_11";"P22_12";"P22_13";"P22_14";"P22_15";"P22_16";"P22_17";"P22_A";"P22_B";"P22_C";"P22_D";"P23";"P24";"P25";"P26";"P26_A";"P27";"P28_01";"P28_02";"P28_03";"P28_04";"P28_05";"P28_06";"P28_07";"P28_08";"P28_09";"P29";"P30_01";"P30_02";"P30_03";"P30_04";"P30_05";"P30_06";"P30_A_01";"P30_A_02";"P30_A_03";"P30_A_04";"P30_A_05";"P30_A_06";"P36";"P38";"edu.cruz";"idade.cruz";"regiao.cruz";"trab.cruz";"raca.cruz";"renda.simples";"renda.cruz";"religiao.simples";"religiao.cruz";"POP_regiao_raca";"POP_regiao_idade";"POP_regiao_edu";"W1";"W2";"idade.wgts";"edu.wgts";"raca.wgts"
"1";3;2;1;1;1;2;2;2;2;2;2;2;2;2;2;1;1;3;1;1;1;1;2;1;2;3;2;2;2;2;1;2;2;2;11;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;5;;2;5;3;3;4;3;3;1;1;13960677,4593904;8798165,98063689;5572409,50746999;0,633805540853956;22885,3266380617;5;2;4
"2";1;2;2;2;2;3;2;2;2;1;2;2;2;2;2;2;2;2;1;1;1;2;2;5;1;3;1;2;2;2;2;2;2;2;11;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;;3;4;2;1;1;4;0;0;2;2;4846039,7630248;1463776,52352921;1263379,16937145;0,770097073953619;27806,5146869789;2;4;4
"3";3;2;1;3;1;4;2;2;2;1;2;2;2;2;2;3;3;5;2;2;2;2;2;4;1;2;2;2;2;2;2;2;2;2;11;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;2;2;2;2;2;2;2;2;;2;1;2;2;2;2;2;2;2;2;2;2;;4;1;4;3;1;2;97;;1;1;3804141,48667104;6329164,84158728;10649723,4784583;2,16947492141387;78334,976596678;4;1;2
"4";4;3;1;1;1;3;2;2;2;1;2;2;2;2;2;1;1;2;2;2;1;1;2;1;1;3;1;2;2;2;2;2;2;2;11;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;;1;4;1;4;1;1;3;3;2;2;9518913,45314225;2942917,92101343;3043136,18139733;0,916881875827821;33106,5916346626;1;4;1
"5";5;3;1;1;1;3;2;1;2;1;1;2;2;2;2;2;2;3;2;1;2;2;2;4;2;2;1;2;2;2;2;2;2;2;11;1;1;1;2;2;2;2;2;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;2;2;2;2;;;;2;2;2;1;2;2;2;2;2;4;2;2;2;2;2;2;2;2;2;2;2;2;1;;3;2;5;3;4;3;3;2;2;3421308,1019427;1352560,93081092;1826530,14140164;1,28188405656327;46286,0190635883;2;3;4
"6";3;3;1;1;1;4;1;1;1;1;1;1;1;2;2;3;2;5;1;1;2;2;2;4;1;1;1;2;2;2;2;2;2;2;11;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;4;;3;3;3;3;4;97;;2;2;13960677,4593904;6591591,83579349;11830617,0641027;0,978124934974382;35317,9440488349;3;3;4
"7";2;2;1;1;1;3;1;2;2;2;2;2;2;2;2;1;2;2;1;1;1;1;2;4;1;3;97;2;2;2;2;2;2;2;;1;1;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;6;;4;3;2;2;1;97;;2;2;5740319,00842639;4033401,53710101;3915537,04929414;0,164083339222203;5924,68915450718;3;4;1
"8";3;2;1;2;1;3;2;2;2;1;1;2;2;2;2;3;1;3;2;2;2;2;2;2;1;3;2;2;2;2;1;2;2;2;11;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;6;;3;1;3;2;4;0;0;1;1;13960677,4593904;8791279,62274544;11830617,0641027;0,562483386870092;20310,0402367284;1;3;4
"9";3;2;2;1;1;3;2;2;2;1;2;2;2;2;2;2;1;3;1;2;1;1;2;4;1;3;97;2;2;2;2;2;2;2;;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;4;;4;5;3;3;1;5;5;1;1;19504420,6018672;8798165,98063689;9667487,9365852;0,793361560421768;28646,5442190227;5;4;1
"10";3;2;2;1;2;3;2;2;2;1;1;2;2;2;2;2;2;3;1;1;1;2;2;2;1;3;2;2;2;2;1;2;2;2;4;1;1;1;2;1;2;2;2;1;1;2;1;2;1;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;;;;1;2;1;2;;;2;2;2;1;2;2;2;2;2;6;1;1;1;2;2;2;1;2;2;2;2;2;4;;2;4;3;3;1;97;;1;1;19504420,6018672;6329164,84158728;5572409,50746999;0,969263633353515;34997,9819012041;4;2;1
